Nr,Ort,Firma,Branche,Website-Status,Komplexitaet,Paket,Preis,Telefon,Ansprechpartner/Adresse,Aufhaenger,Status
20,Benningen a.N.,Metzgerei Heigl e.K.,Metzgerei,nur Facebook,S,Starter,2490,07144 6070550,Hauptstr. 17,Mittagstisch & Wochenangebote online holt Laufkundschaft,Neu
21,Benningen a.N.,Grill Gunther,Imbiss,keine,S,Starter,2490,07144 1309373,Benningen,Onepager mit Speisekarte + Standort fuer Doener-Suchen,Neu
22,Benningen a.N.,Eis To-Go,Eisdiele,Branchenbuch,S,Starter,2490,07144 283315,Dengelberg 3 - Betriebsstatus pruefen,Sorten + Saison-Oeffnungszeiten bringt Sommerkundschaft,Neu
23,Benningen a.N.,Osswald Egon Friseur,Friseur,keine,S,Starter,2490,07144 18711,Ludwigsburger Str. 10,Onepager mit Leistungen/Preisen + Online-Terminanfrage,Neu
24,Benningen a.N.,Alexandra Seyfferle Nagelstudio & Fusspflege,Nagel/Fusspflege,Branchenbuch,S,Starter,2490,07144 849299,Hirschmann-Ring 18,Med. Fusspflege + Terminbuchung gewinnt Stammkundschaft,Neu
25,Benningen a.N.,Blumenladen Rieger,Floristik,keine,S,Starter,2490,07144 5744,Hermannstr. 2,Sortiment + Trauer-/Hochzeitsfloristik macht Anlassbestellungen leicht,Neu
26,Benningen a.N.,Physiotherapie Janssen-Haug / Schoenebeck,Physiotherapie,Branchenbuch,M,Business,4990,07144 863686,Ludwigsburger Str. 45,Leistungen + Kassen-Infos + Online-Terminanfrage entlastet Telefon,Neu
27,Benningen a.N.,Edgar Entenmann Sanitaer/Heizung,Handwerk/SHK,Branchenbuch,M,Business,4990,07144 841795,Hirschmann-Ring 24,Badsanierung/Heizung + Anfrageformular gewinnt Renovierungsauftraege,Neu
28,Benningen a.N.,Norbert Kojer Sanitaer Heizung Flaschnerei,Handwerk/SHK,Branchenbuch,M,Business,4990,07144 14789,Dengelberg 17,Referenzen Bad & Flaschnerei positionieren professionell,Neu
29,Benningen a.N.,Dieter Braun Kfz-Technik,Kfz-Werkstatt,keine,M,Business,4990,Tel. Verzeichnis pruefen (07144),Beethovenstr. 64,Werkstatt-Seite mit Leistungen + Terminanfrage,Neu
30,Benningen a.N.,Die Holzmeister GmbH,Zimmerei/Holzbau,Branchenbuch,M,Business,4990,07144 886150,Krautlose 11,Projektgalerie Dachstuhl/Carport gewinnt private Bauherren,Neu
31,Benningen a.N.,Elektrotechnik Hirschmann-Ring 20,Handwerk/Elektro,Branchenbuch,M,Business,4990,07144 12528,Hirschmann-Ring 20 - Inhaber pruefen,Eigene Seite mit Leistungsspektrum macht Betrieb sichtbar,Neu
32,Ingersheim,Haarstudio Petra,Friseur,keine,S,Starter,2490,07142 773611,Marktstr. 7 (Grossingersheim),Schlanke Seite mit Online-Terminbuchung bringt Kundschaft,Neu
33,Ingersheim,Kneule Friseurgeschaeft,Friseur,keine,S,Starter,2490,07142 52206,Marktstr. 19 (Grossingersheim),Oeffnungszeiten & Preise online erhoeht Anrufe,Neu
34,Ingersheim,Friseursalon Aymar,Friseur,keine,S,Starter,2490,07142 54241,Friedrichstr. 16 (Grossingersheim),Moderner Onepager hebt vom Wettbewerb ab,Neu
35,Ingersheim,Friseursalon Naegele,Friseur,keine,S,Starter,2490,07142 65599,In den Linden 1 (Kleiningersheim),Kompakte Seite mit Galerie fuer Familienbetrieb,Neu
36,Ingersheim,Nagelstudio Beauty (In den Linden 39),Nagel/Kosmetik,Branchenbuch,S,Starter,2490,07142 778489,In den Linden 39 (Kleiningersheim),Bildergalerie + Buchung konvertiert gut,Neu
37,Ingersheim,Nageldesign (In den Beeten 15),Nagelstudio,Branchenbuch,S,Starter,2490,07142 3780938,In den Beeten 15 (Grossingersheim),Onepager mit Leistungen/Preisen + Buchung,Neu
38,Ingersheim,Kosmetikstudio (Bietigheimer Str.),Kosmetik,keine,S,Starter,2490,07142 776977,Bietigheimer Str. 65,Behandlungsuebersicht online schafft Vertrauen,Neu
39,Ingersheim,Metzgerei & Gasthaus zur Rose (Einkoern),Metzgerei/Gastro,veraltet,M,Business,4990,07142 64201,Fam. Einkoern - Pflaster 4,Veraltete HTML-Seite - moderne mobile Seite mit Wochenangebot,Neu
40,Ingersheim,Star Pizza Service,Pizzeria/Lieferdienst,schwach (Bestell-Template),S,Starter,2490,07142 220303,Pleidelsheimer Str. 12,Eigene Domain staerkt Marke & spart Provisionen,Neu
41,Ingersheim,Efe Doener & Pizza Haus,Imbiss,nur Portale,S,Starter,2490,07142 7884477,Tiefengasse 9 (Grossingersheim),Eigene Seite mit Speisekarte bindet Stammgaeste,Neu
42,Ingersheim,Sparmarkt Fritz,Einzelhandel/Lebensmittel,keine,S,Starter,2490,07142 52346,Marktstr. 12 (Grossingersheim),Sortiment + Angebote + Oeffnungszeiten erreicht Nachbarschaft,Neu
43,Ingersheim,Schray KFZ-Technik,Kfz-Werkstatt,keine,M,Business,4990,07142 20410,Wolfgang Schray - Freiberger Str. 18,Leistungen + Termin-Anfrage + Bewertungen gewinnt Neukunden,Neu
44,Ingersheim,Heizungsbau Glueck GmbH,Handwerk/SHK,nur Branchenportale,M,Business,4990,07142 20424,Kurt Glueck - Bietigheimer Str. 50,Foerder-/Notdienstthemen + Auffindbarkeit,Neu
45,Ingersheim,Volker Schulz Maler & Lackierer,Maler,keine,M,Business,4990,07142 7091021,Hessigheimer Str. 3,Referenz-Galerie ueberzeugt Privatkunden,Neu
46,Ingersheim,Thomas Koch,Zimmermann,keine,M,Business,4990,07142 65308,Freibergerstr. 20/1,Projektfotos + Kontaktformular buendelt Anfragen,Neu
47,Ingersheim,Schafzuchtbetrieb Eggert,Landwirtschaft/Direktvermarkter,keine,S,Starter,2490,07142 7397046,Grossingersheimer Str. 2,Hofverkauf + Produkte + Bezugszeiten online,Neu
48,Ingersheim,Tiernahrung Belz,Einzelhandel/Tierbedarf,keine,S,Starter,2490,07142 931108,Blumenstr. 5,Sortiment + Oeffnungszeiten schafft lokale Sichtbarkeit,Neu
49,Ingersheim,Dorothee Maier Physiotherapie,Physiotherapie,keine,M,Business,4990,Tel. Verzeichnis pruefen,Grossingersheimer Str. 3,Leistungen + Kassen-Infos + Terminanfrage ist Standard,Neu
50,Ingersheim,Dr. med. dent. Dubravko Borcic,Zahnarzt,keine,M,Business,4990,07142 64334,Marktstr. 5,Praxisseite mit Leistungen + Online-Terminvergabe,Neu
51,Ingersheim,Dr. med. Christiane Mammele,Arzt/Psychotherapie,keine,M,Business,4990,07142 20111,Schoenblick 19,Seriose Seite mit Sprechzeiten + Schwerpunkten,Neu
52,Ingersheim,Karr (Petra),Dienstleistungen,keine,S,Starter,2490,07142 67425,Weidenweg 16,Onepager mit Leistungen + Kontakt schnell umgesetzt,Neu
53,Ingersheim,Roesch GmbH,Containerdienst/Entsorgung,keine,M,Business,4990,07142 6057,Groeninger Weg 8,Containergroessen + Preise + Anfrageformular generiert Auftraege,Neu
54,Ingersheim,Holderhof,Hofladen/Direktvermarkter,Branchenbuch,S,Starter,2490,Tel. Verzeichnis pruefen,Holderhof 1,Angebot + Hof-Geschichte + Verkaufszeiten,Neu
55,Pleidelsheim,Baeckerei Reiner,Baeckerei,nur Facebook,S,Starter,2490,07144 23707,Friedrichstr. 25,Eigene Seite mit Sortiment & Oeffnungszeiten statt nur Instagram,Neu
56,Pleidelsheim,Imbiss & Partyservice Holzwarth,Imbiss/Catering,keine,S,Starter,2490,07144 23856,Ralf Holzwarth - Stuifenstr. 10,Seite mit Mittagstisch + Partyservice fehlt komplett,Neu
57,Pleidelsheim,Pizzeria Zum Hirschkeller,Pizzeria,nur Branchenbuch,S,Starter,2490,07144 283219,Pleidelsheim,Eigene Speisekarte online statt nur Fremdportale,Neu
58,Pleidelsheim,Pleidelsheimer Hof,Gastronomie,keine,S,Starter,2490,07144 22328,Moerikestr. 3,Lokal nur in Verzeichnissen - eigener Auftritt fehlt,Neu
59,Pleidelsheim,DQUADRAT Imbiss,Imbiss (Burger/Tantuni),keine,S,Starter,2490,0176 94708112,Gottlieb-Daimler-Str. 20,Onepager mit Karte + Standort fuer jungen Imbiss,Neu
60,Pleidelsheim,Pizza & Kebaphaus Selim,Imbiss/Lieferdienst,nur Lieferando,S,Starter,2490,Tel. Verzeichnis pruefen,Pleidelsheim,Eigene Bestell-/Infoseite statt nur Lieferando,Neu
61,Pleidelsheim,Bonny's Cafe,Cafe,nur Instagram,S,Starter,2490,0172 8698281,Yusa Sarioglu - Marbacher Str. 1,Fruehstuecks-/Cafe-Onepager fuer Neueroeffnung mit Presseecho,Neu
62,Pleidelsheim,Eiscafe Da Salva,Eisdiele,keine,S,Starter,2490,07144 8890799,Emin Fejzulji - Hindenburgplatz 3,Seite mit Sorten/Saison wuerde auffallen,Neu
63,Pleidelsheim,Friseursalon Enderle,Friseur,nur Branchenbuch,S,Starter,2490,07144 23888,Christine Nahl - Mundelsheimer Str. 7,Eigene Seite mit Terminbuchung,Neu
64,Pleidelsheim,Tanja Friseurstudio Sarnow,Friseur,nur Branchenbuch,S,Starter,2490,07144 807940,Tanja Sarnow - Hindenburgplatz 2,Onepager mit Online-Terminbuchung,Neu
65,Pleidelsheim,W. Schied Haarstudio,Friseur,nur Branchenbuch,S,Starter,2490,07144 207252,Marbacher Str. 1,Keine eigene Praesenz - Onepager,Neu
66,Pleidelsheim,Barbershop Los Berberos,Barbershop,keine,S,Starter,2490,07144 1304818,Marbacher Str. 1,Zielgruppe sucht online - klares Potenzial,Neu
67,Pleidelsheim,Barbershop Men's Room,Barbershop,keine,S,Starter,2490,07144 2616109,Hindenburgplatz 1,Onepager mit Preisen + Buchung,Neu
68,Pleidelsheim,G.S. Beauty Studio,Kosmetik/Beauty,nur Fresha,S,Starter,2490,Tel. Verzeichnis pruefen,Bachgartenstr. 1,Eigene Marken-/Infoseite statt nur Fresha,Neu
69,Pleidelsheim,Kosmetikinstitut Birgit Riegler,Kosmetik,keine,S,Starter,2490,07144 8015916,Johannes-Nefflen-Str. 16,Behandlungsuebersicht online fehlt,Neu
70,Pleidelsheim,Savas Oezkan Malerbetrieb,Maler/Handwerk,keine,M,Business,4990,Tel. Verzeichnis pruefen,Talstr. 60,Referenzseite mit Projekten bringt Auftraege,Neu
71,Pleidelsheim,Marinkovic GmbH (Maler/Tapezier),Maler/Handwerk,nur Branchenbuch,M,Business,4990,Tel. Verzeichnis pruefen,Robert-Bosch-Str. 14,Eigene Seite mit Leistungen,Neu
72,Pleidelsheim,Bernd Wolf Elektroinstallation,Elektro/Handwerk,nur Branchenbuch,M,Business,4990,07144 29721,Teckstr. 29,Kein eigener Webauftritt - Leistungen online,Neu
73,Pleidelsheim,Erdbeer- & Spargelhof Baust,Hofladen/Direktvermarkter,nur Verzeichnisse,M,Business,4990,07144 22034,Werner Baust - Haeselweg 15,Saison (Spargel/Erdbeeren/Eier) + Oeffnungszeiten,Neu
74,Pleidelsheim,Gaertnerei Hammer,Gaertnerei/Floristik,keine,M,Business,4990,07144 23708,Murrer Weg 2,Pflanzen-/Saisonangebot online,Neu
75,Pleidelsheim,Kaeseck am Backhaeusle,Gastronomie/Spezialitaet,keine,S,Starter,2490,0971 4422295,Mundelsheimer Str. 2,Lokale Spezialitaetenadresse ohne Auftritt,Neu
76,Pleidelsheim,Optik Flohr,Einzelhandel/Optiker,nur Branchenbuch,S,Starter,2490,07144 23347,Schillerplatz 1,Seite mit Marken/Service/Termin fehlt,Neu
77,Pleidelsheim,Bergmann Bueroeinrichtungen,Einzelhandel/Buero,Status pruefen,M,Business,4990,07144 885060,Schillerplatz 5,Webauftritt nicht gefunden - Verzeichnis pruefen,Neu
78,Pleidelsheim,Praxis Osteopathie/Naturheilverfahren Zienteck,Heilpraktiker/Osteopathie,schwache Seite,M,Business,4990,07144 7029642,Achalmstr. 32,Bestehende Seite sehr einfach - Modernisierung lohnt,Neu
79,Asperg,Eis Cafe Lorenzo,Eisdiele/Cafe,nur Facebook,S,Starter,2490,07141 65595,Marco Engel - Markgroeninger Str. 16,2000+ FB-Fans aber keine Seite mit Sorten/Oeffnungszeiten,Neu
80,Asperg,Gaststaette Weinhof (Burkhardt),Gastronomie,Baukasten (eatbu),M,Business,4990,07141 664262,Fam. Burkhardt - Gartenstr. 29,Eigene Seite mit Speisekarte + Reservierung statt Baukasten,Neu
81,Asperg,Pilsklause-Saloniki,Gastronomie/Pizza,leerer WordPress,S,Starter,2490,07141 62935,Saarstr. 1,Leere Standard-Seite - echter Auftritt mit Speisekarte fehlt,Neu
82,Asperg,Asperger Pizza-Kebap-Haus,Imbiss/Pizzaservice,nur Branchenbuch,S,Starter,2490,07141 9565386,Alleenstr. 23,Onepage mit Speisekarte/Lieferinfo bringt Direktbestellungen,Neu
83,Asperg,Maler Buck Gerhard,Handwerk/Maler,keine,M,Business,4990,07141 664901,Wunnensteinstr. 18,Referenzbilder online bringen Privatkunden,Neu
84,Asperg,Maler Burkhardt Siegfried,Handwerk/Maler,keine,M,Business,4990,07141 664769,Schulstr. 43,Schlanke Seite mit Leistungen + Kontakt steigert Auffindbarkeit,Neu
85,Asperg,Malermeister Scognamiglio,Handwerk/Maler,keine,M,Business,4990,07154 8079759,Bahnhofstr. 27,Referenz-Seite hilft bei Auftragsakquise,Neu
86,Asperg,Malermeister Tronser,Handwerk/Maler,keine,M,Business,4990,07141 2982203,Badstr. 15/1,Bildergalerie abgeschlossener Arbeiten,Neu
87,Asperg,Elektro Dolch,Handwerk/Elektro,keine,M,Business,4990,07141 65207,Asperg,Seite mit Leistungen + Notdienst-Hinweis bringt Anfragen,Neu
88,Asperg,Gumpp Alfred Elektroinstallation,Handwerk/Elektro,Branchenbuch,M,Business,4990,07141 63980,Schulstr. 21,Eigener Auftritt schafft Vertrauen - Tel. pruefen,Neu
89,Asperg,Rauscher + Mueller GmbH,Handwerk/SHK,keine,M,Business,4990,07141 68118,Gartenstr. 26,Traditionsbetrieb seit 1928 - Bad/Heizung-Leistungen modern zeigen,Neu
90,Asperg,Lehmann Achim KFZ-Werkstatt,Kfz-Werkstatt,keine,M,Business,4990,07141 65344,Achim Lehmann - Eglosheimer Str. 56,Oeffnungszeiten + Leistungen fuer Werkstatt-Asperg-Suchen,Neu
91,Asperg,Karin's Haarstudio,Friseur,nur Facebook,S,Starter,2490,07141 31503,Karin - Hirschbergstr. 44,Website mit Online-Terminbuchung erleichtert Termine,Neu
92,Asperg,Renate Woern Friseur,Friseur,nur Facebook (veraltet),S,Starter,2490,07141 664942,Stuttgarter Str. 1,Moderne Seite mit Buchung waere Upgrade - Tel. pruefen,Neu
93,Asperg,Kosmetikstudio Asperg,Kosmetik,nur Facebook,S,Starter,2490,07141 63051,Bahnhofstr. 89,Eigene Seite mit Behandlungsangebot + Preisen,Neu
94,Asperg,Ida Rothfuss (Kosmetik & Fusspflege),Kosmetik/Fusspflege,keine,S,Starter,2490,07141 31630,Karl u. Ida Rothfuss - Teckstr. 34,Onepage mit Leistungen + Terminanfrage,Neu
95,Asperg,Fusspflege (Friedrich-List-Str.),Fusspflege,nur Branchenbuch,S,Starter,2490,07141 903738,Friedrich-List-Str. 1,Seite mit med. Fusspflege-Angebot - Tel. pruefen,Neu
96,Asperg,Nagelstudio (Moerikestr. 3),Nagelstudio,nur Branchenbuch,S,Starter,2490,07141 660690,Moerikestr. 3,Seite mit Galerie + Online-Termin,Neu
97,Asperg,Blumenkoerble (Atzori),Floristik,nur Instagram,S,Starter,2490,07141 62709,Christine Atzori - Markgroeninger Str. 15,Sortiment + Anlaesse + Trauerfloristik besser auffindbar,Neu
98,Asperg,Blumen Assenheimer,Floristik,nur Fleurop,S,Starter,2490,07141 62606,Helga Ilg - Waldaeckerstr. 2,Eigene Seite bindet Kunden ans lokale Geschaeft,Neu
99,Asperg,Fahrschule Liberty,Fahrschule,nur Impressum,S,Starter,2490,0172 7615906,Bahnhofstr. 95,Seite mit Kursen/Anmeldung - Tel. pruefen,Neu
100,Asperg,Eiscafe/Baeckerei (Badstr. 16),Baeckerei,keine bestaetigt,S,Starter,2490,07141 62584,Badstr. 16,Onepage mit Sortiment/Oeffnungszeiten - Name pruefen,Neu
